n,plus,multi,square,compare
51,1.6e-05,1.5e-05,1.7e-05,1.6e-05
52,1.5e-05,1.5e-05,1.7e-05,1.6e-05
53,1.6e-05,2.1e-05,2.3e-05,1.6e-05
54,1.6e-05,1.6e-05,1.7e-05,1.6e-05
55,1.6e-05,1.5e-05,1.7e-05,1.6e-05
56,1.5e-05,1.5e-05,1.7e-05,1.6e-05
57,1.6e-05,1.5e-05,1.7e-05,1.6e-05
58,1.6e-05,1.5e-05,1.7e-05,1.6e-05
59,1.5e-05,1.4e-05,1.7e-05,1.6e-05
60,1.5e-05,1.5e-05,1.7e-05,1.6e-05
61,1.5e-05,1.5e-05,1.6e-05,1.6e-05
62,1.5e-05,1.6e-05,1.7e-05,2e-05
63,1.5e-05,1.5e-05,1.7e-05,1.7e-05
64,1.6e-05,1.5e-05,1.7e-05,1.6e-05
65,1.5e-05,1.6e-05,1.6e-05,1.5e-05
66,1.6e-05,1.6e-05,1.7e-05,1.5e-05
67,1.6e-05,1.5e-05,1.7e-05,1.5e-05
68,1.6e-05,1.5e-05,1.6e-05,1.6e-05
69,1.5e-05,1.6e-05,1.7e-05,1.6e-05
70,1.6e-05,1.5e-05,1.7e-05,1.6e-05
71,1.5e-05,1.5e-05,1.7e-05,1.6e-05
72,1.5e-05,1.6e-05,1.7e-05,1.6e-05
73,1.5e-05,1.5e-05,1.7e-05,1.6e-05
74,1.6e-05,1.6e-05,1.7e-05,1.6e-05
75,1.6e-05,1.5e-05,1.6e-05,1.6e-05
76,1.9e-05,1.5e-05,1.7e-05,1.6e-05
77,1.6e-05,1.6e-05,1.8e-05,1.6e-05
78,2.2e-05,1.6e-05,1.8e-05,1.7e-05
79,1.7e-05,1.6e-05,1.8e-05,1.6e-05
80,1.6e-05,1.6e-05,1.8e-05,1.5e-05
81,1.5e-05,1.5e-05,1.7e-05,1.6e-05
82,1.6e-05,1.5e-05,1.8e-05,1.6e-05
83,1.6e-05,1.6e-05,1.7e-05,1.6e-05
84,1.6e-05,1.5e-05,1.7e-05,1.6e-05
85,1.6e-05,1.5e-05,1.8e-05,1.6e-05
86,1.6e-05,1.5e-05,1.7e-05,1.6e-05
87,1.6e-05,1.6e-05,1.8e-05,1.5e-05
88,1.6e-05,1.6e-05,1.8e-05,1.5e-05
89,1.6e-05,1.5e-05,1.7e-05,1.5e-05
90,1.6e-05,1.5e-05,1.7e-05,1.6e-05
91,1.6e-05,1.6e-05,1.8e-05,1.6e-05
92,1.6e-05,1.6e-05,1.8e-05,1.6e-05
93,1.6e-05,1.6e-05,1.8e-05,1.5e-05
94,1.6e-05,1.5e-05,1.8e-05,1.6e-05
95,1.6e-05,1.6e-05,1.8e-05,1.6e-05
96,1.6e-05,1.5e-05,1.8e-05,1.6e-05
97,1.5e-05,1.5e-05,1.7e-05,1.6e-05
98,1.5e-05,1.6e-05,1.8e-05,1.6e-05
99,1.9e-05,1.6e-05,2.3e-05,1.6e-05
100,1.6e-05,1.6e-05,1.9e-05,1.5e-05
101,1.6e-05,1.6e-05,1.8e-05,1.6e-05
102,1.6e-05,1.6e-05,1.8e-05,1.5e-05
103,1.6e-05,2e-05,1.8e-05,1.6e-05
104,1.6e-05,1.7e-05,1.8e-05,1.6e-05
105,1.6e-05,1.6e-05,1.7e-05,1.6e-05
106,1.5e-05,1.5e-05,1.7e-05,1.6e-05
107,1.5e-05,1.5e-05,1.8e-05,1.6e-05
108,1.5e-05,1.5e-05,1.8e-05,1.6e-05
109,1.6e-05,1.5e-05,1.8e-05,1.6e-05
110,2.2e-05,1.5e-05,1.8e-05,1.7e-05
111,1.7e-05,1.5e-05,1.8e-05,2.1e-05
112,1.6e-05,1.5e-05,1.8e-05,1.8e-05
113,1.6e-05,1.5e-05,1.8e-05,1.6e-05
114,1.6e-05,1.5e-05,1.8e-05,1.6e-05
115,1.6e-05,1.5e-05,1.8e-05,1.7e-05
116,1.6e-05,1.5e-05,1.8e-05,1.6e-05
117,1.6e-05,1.5e-05,1.8e-05,1.6e-05
118,1.6e-05,1.6e-05,1.8e-05,1.6e-05
119,1.5e-05,1.6e-05,1.9e-05,1.6e-05
120,1.6e-05,1.6e-05,1.8e-05,1.7e-05
121,1.7e-05,1.6e-05,1.8e-05,1.6e-05
122,1.6e-05,1.5e-05,1.8e-05,1.6e-05
123,1.6e-05,1.6e-05,1.8e-05,1.6e-05
124,1.8e-05,1.6e-05,1.9e-05,1.6e-05
125,1.7e-05,1.6e-05,1.8e-05,1.7e-05
126,1.6e-05,1.6e-05,1.8e-05,1.6e-05
127,1.6e-05,1.6e-05,1.8e-05,1.6e-05
128,1.6e-05,1.6e-05,1.8e-05,1.7e-05
129,1.6e-05,1.5e-05,1.7e-05,1.7e-05
130,1.6e-05,1.6e-05,1.8e-05,1.7e-05
131,1.7e-05,1.6e-05,1.8e-05,1.6e-05
132,1.6e-05,1.6e-05,1.8e-05,1.6e-05
133,1.6e-05,1.6e-05,1.8e-05,1.6e-05
134,1.6e-05,1.6e-05,1.8e-05,1.7e-05
135,1.6e-05,1.6e-05,1.8e-05,1.7e-05
136,1.7e-05,1.6e-05,1.8e-05,1.6e-05
137,1.6e-05,1.6e-05,1.9e-05,1.7e-05
138,1.6e-05,1.6e-05,1.8e-05,1.6e-05
139,1.7e-05,1.6e-05,1.8e-05,1.6e-05
140,1.7e-05,1.6e-05,1.8e-05,1.7e-05
141,1.6e-05,1.6e-05,1.9e-05,1.6e-05
142,1.6e-05,1.6e-05,1.9e-05,1.6e-05
143,1.6e-05,1.6e-05,2.4e-05,1.6e-05
144,1.7e-05,1.6e-05,1.9e-05,1.6e-05
145,1.6e-05,1.6e-05,1.8e-05,1.6e-05
146,1.6e-05,1.6e-05,1.8e-05,1.7e-05
147,1.6e-05,1.6e-05,1.8e-05,1.6e-05
148,1.6e-05,1.6e-05,1.8e-05,1.6e-05
149,1.6e-05,1.6e-05,1.8e-05,1.6e-05
150,1.6e-05,1.6e-05,1.8e-05,1.6e-05
151,1.6e-05,1.6e-05,1.9e-05,1.6e-05
152,1.7e-05,2.1e-05,1.9e-05,1.7e-05
153,1.6e-05,1.8e-05,1.8e-05,1.6e-05
154,1.6e-05,1.6e-05,1.8e-05,1.6e-05
155,1.7e-05,1.6e-05,1.8e-05,1.6e-05
156,1.6e-05,1.6e-05,1.8e-05,1.6e-05
157,1.6e-05,1.6e-05,1.9e-05,1.6e-05
158,1.6e-05,1.6e-05,1.8e-05,1.6e-05
159,1.6e-05,1.6e-05,1.8e-05,2.2e-05
160,1.7e-05,1.6e-05,1.9e-05,1.8e-05
161,1.6e-05,1.6e-05,1.9e-05,1.7e-05
162,1.6e-05,1.6e-05,1.9e-05,1.7e-05
163,1.7e-05,1.6e-05,1.9e-05,1.7e-05
164,1.7e-05,1.7e-05,1.9e-05,1.7e-05
165,1.6e-05,1.6e-05,1.8e-05,1.7e-05
166,1.6e-05,1.6e-05,1.9e-05,1.7e-05
167,1.6e-05,1.6e-05,1.9e-05,1.7e-05
168,1.7e-05,1.6e-05,1.9e-05,1.6e-05
