n,plus,multi,square
186,1.6e-05,1.7e-05,1.9e-05
187,1.6e-05,1.7e-05,1.9e-05
188,1.6e-05,1.6e-05,2e-05
189,1.6e-05,1.7e-05,1.9e-05
190,1.7e-05,1.7e-05,1.9e-05
191,1.7e-05,1.7e-05,2e-05
192,1.7e-05,1.7e-05,2.5e-05
193,1.7e-05,1.6e-05,1.9e-05
194,1.7e-05,1.7e-05,1.9e-05
195,1.7e-05,1.7e-05,1.9e-05
196,1.7e-05,1.7e-05,2e-05
197,1.6e-05,1.7e-05,2e-05
198,1.6e-05,1.7e-05,2e-05
199,1.6e-05,1.7e-05,2e-05
200,1.6e-05,1.7e-05,2e-05
201,1.6e-05,1.7e-05,1.9e-05
202,2e-05,1.7e-05,2e-05
203,1.7e-05,1.6e-05,1.9e-05
204,1.6e-05,1.6e-05,2e-05
205,1.6e-05,1.7e-05,1.9e-05
206,1.6e-05,1.7e-05,1.9e-05
207,1.7e-05,1.7e-05,1.9e-05
208,1.7e-05,1.7e-05,1.9e-05
209,1.7e-05,1.7e-05,1.9e-05
210,1.7e-05,1.7e-05,1.9e-05
211,1.6e-05,1.7e-05,2e-05
212,2.5e-05,1.7e-05,1.9e-05
213,1.7e-05,1.7e-05,1.9e-05
214,1.7e-05,2.5e-05,1.9e-05
215,1.7e-05,1.8e-05,2e-05
216,1.7e-05,1.7e-05,2e-05
217,1.7e-05,1.7e-05,1.9e-05
218,1.7e-05,1.7e-05,1.9e-05
219,1.6e-05,1.7e-05,1.9e-05
220,1.7e-05,1.7e-05,2e-05
221,1.7e-05,1.7e-05,2e-05
222,1.7e-05,1.6e-05,2e-05
223,1.7e-05,1.7e-05,2.1e-05
224,1.7e-05,1.7e-05,2e-05
225,1.7e-05,1.6e-05,1.9e-05
226,1.7e-05,1.7e-05,1.9e-05
227,2.1e-05,1.7e-05,1.9e-05
228,1.9e-05,1.7e-05,1.9e-05
229,1.8e-05,1.7e-05,1.9e-05
230,1.7e-05,1.7e-05,2e-05
231,1.8e-05,1.7e-05,2e-05
232,1.8e-05,1.7e-05,2e-05
233,1.7e-05,1.7e-05,2.4e-05
234,2.2e-05,1.7e-05,2.2e-05
235,1.8e-05,1.7e-05,2e-05
236,1.7e-05,1.7e-05,2e-05
237,1.7e-05,1.7e-05,2e-05
238,1.8e-05,1.8e-05,2e-05
239,1.7e-05,1.7e-05,2e-05
240,1.7e-05,1.8e-05,2e-05
241,1.7e-05,1.7e-05,2e-05
242,1.7e-05,1.7e-05,2e-05
243,1.7e-05,1.7e-05,2e-05
244,1.7e-05,1.7e-05,2.1e-05
245,1.7e-05,1.7e-05,2e-05
246,1.7e-05,1.7e-05,2.1e-05
247,1.8e-05,1.7e-05,2e-05
248,1.8e-05,1.7e-05,2e-05
249,1.8e-05,1.7e-05,2e-05
250,1.8e-05,1.7e-05,2.1e-05
251,1.8e-05,1.7e-05,2e-05
252,1.8e-05,1.8e-05,2.1e-05
253,1.8e-05,1.7e-05,2e-05
254,1.8e-05,1.7e-05,2.1e-05
255,1.8e-05,1.7e-05,2e-05
256,1.8e-05,1.7e-05,2e-05
257,2e-05,1.7e-05,2e-05
258,1.8e-05,1.8e-05,2e-05
259,1.8e-05,1.7e-05,2.1e-05
260,1.8e-05,2.4e-05,2.1e-05
261,1.8e-05,1.9e-05,2.1e-05
262,1.8e-05,1.7e-05,2.1e-05
263,1.8e-05,1.7e-05,2.1e-05
264,1.7e-05,1.7e-05,2.1e-05
265,1.7e-05,1.7e-05,2e-05
266,1.8e-05,1.8e-05,2e-05
267,1.8e-05,1.8e-05,2e-05
268,1.7e-05,1.7e-05,2e-05
269,1.8e-05,1.8e-05,2e-05
270,1.8e-05,1.8e-05,2.1e-05
271,1.7e-05,1.7e-05,2.1e-05
272,1.8e-05,1.8e-05,2.1e-05
273,1.8e-05,1.7e-05,2.5e-05
274,1.8e-05,1.7e-05,2.1e-05
275,1.7e-05,1.8e-05,2e-05
276,1.8e-05,1.8e-05,2.1e-05
277,1.7e-05,1.8e-05,2.1e-05
278,1.8e-05,1.8e-05,2e-05
279,1.7e-05,1.8e-05,2.1e-05
280,1.8e-05,1.8e-05,2.1e-05
281,1.8e-05,1.8e-05,2.1e-05
282,1.8e-05,1.8e-05,2.1e-05
283,1.8e-05,1.7e-05,2.1e-05
284,1.8e-05,1.7e-05,2.1e-05
285,1.8e-05,1.7e-05,2.1e-05
286,1.7e-05,1.7e-05,2.1e-05
287,1.8e-05,1.8e-05,2.1e-05
288,1.8e-05,1.8e-05,2.2e-05
289,1.8e-05,1.8e-05,2.1e-05
290,1.8e-05,1.8e-05,2.1e-05
291,1.8e-05,1.8e-05,2e-05
292,1.8e-05,1.8e-05,2.1e-05
293,1.7e-05,1.8e-05,2.1e-05
294,1.8e-05,1.8e-05,2.1e-05
295,1.8e-05,1.8e-05,2.1e-05
296,1.8e-05,1.7e-05,2.1e-05
297,1.8e-05,1.8e-05,2.1e-05
298,1.8e-05,1.8e-05,2e-05
299,1.8e-05,1.8e-05,2.1e-05
300,1.8e-05,1.8e-05,2.1e-05
301,2.3e-05,1.7e-05,2.1e-05
302,1.8e-05,1.8e-05,2.1e-05
303,1.8e-05,1.7e-05,2.1e-05
304,1.8e-05,1.8e-05,2.2e-05
305,2.2e-05,2.6e-05,2.2e-05
306,1.9e-05,1.9e-05,2.1e-05
307,1.8e-05,1.7e-05,2.1e-05
308,1.8e-05,1.8e-05,2.1e-05
309,1.8e-05,1.8e-05,2.1e-05
310,2.1e-05,1.7e-05,2.2e-05
311,1.8e-05,1.8e-05,2.1e-05
312,1.8e-05,1.7e-05,2.3e-05
313,1.8e-05,1.8e-05,2.1e-05
314,1.8e-05,1.8e-05,2.2e-05
315,1.8e-05,1.7e-05,2.1e-05
316,1.8e-05,1.8e-05,2.2e-05
317,1.8e-05,1.8e-05,2.2e-05
318,1.8e-05,1.8e-05,2.2e-05
319,1.8e-05,1.7e-05,2.1e-05
320,1.8e-05,1.8e-05,2.2e-05
321,1.8e-05,1.7e-05,2.1e-05
322,1.8e-05,1.8e-05,2.1e-05
323,1.8e-05,1.7e-05,2.1e-05
324,1.8e-05,1.8e-05,2.2e-05
325,1.8e-05,1.8e-05,2.1e-05
326,1.8e-05,1.8e-05,2.2e-05
327,1.8e-05,1.7e-05,2.1e-05
328,1.9e-05,1.8e-05,2.2e-05
329,1.9e-05,1.8e-05,2.1e-05
330,1.8e-05,1.7e-05,2.2e-05
331,1.8e-05,1.9e-05,2.1e-05
332,1.8e-05,1.8e-05,2.2e-05
333,1.9e-05,1.8e-05,2.2e-05
334,1.8e-05,1.8e-05,2.1e-05
335,1.8e-05,1.8e-05,2.1e-05
336,1.9e-05,1.8e-05,2.2e-05
337,1.8e-05,1.8e-05,2.2e-05
338,1.8e-05,1.8e-05,2.2e-05
339,1.8e-05,1.8e-05,2.1e-05
340,1.9e-05,1.8e-05,2.2e-05
341,1.8e-05,1.7e-05,2.2e-05
342,1.8e-05,1.8e-05,2.2e-05
343,1.8e-05,1.8e-05,2.3e-05
344,2e-05,1.8e-05,2.2e-05
345,1.8e-05,1.8e-05,2.1e-05
346,1.8e-05,1.8e-05,2.2e-05
347,1.8e-05,1.8e-05,2.2e-05
348,1.8e-05,1.8e-05,2.3e-05
349,1.8e-05,2.1e-05,2.7e-05
350,1.9e-05,1.8e-05,2.3e-05
351,1.8e-05,1.8e-05,2.2e-05
352,1.8e-05,1.8e-05,2.3e-05
353,1.8e-05,1.8e-05,2.2e-05
354,1.9e-05,1.8e-05,2.2e-05
355,1.8e-05,1.8e-05,2.3e-05
356,1.8e-05,1.8e-05,2.2e-05
357,1.8e-05,1.8e-05,2.2e-05
358,1.8e-05,1.9e-05,2.2e-05
359,1.8e-05,1.8e-05,2.2e-05
360,1.9e-05,1.8e-05,2.2e-05
361,1.8e-05,1.8e-05,2.3e-05
362,1.8e-05,1.8e-05,2.2e-05
363,1.9e-05,1.8e-05,2.2e-05
364,1.8e-05,1.8e-05,2.3e-05
365,1.8e-05,1.8e-05,2.2e-05
366,1.9e-05,1.9e-05,2.3e-05
367,1.8e-05,1.8e-05,2.2e-05
368,1.8e-05,1.8e-05,2.3e-05
369,2.2e-05,1.8e-05,2.2e-05
370,1.9e-05,1.9e-05,2.2e-05
371,1.9e-05,1.8e-05,2.3e-05
372,1.8e-05,1.8e-05,2.3e-05
373,1.9e-05,1.8e-05,2.3e-05
374,1.8e-05,1.9e-05,2.3e-05
375,1.9e-05,1.8e-05,2.2e-05
376,1.8e-05,1.9e-05,2.3e-05
377,1.9e-05,1.8e-05,2.3e-05
378,1.8e-05,1.8e-05,2.3e-05
379,1.9e-05,1.8e-05,2.3e-05
380,1.8e-05,1.9e-05,2.3e-05
381,1.9e-05,1.8e-05,2.3e-05
382,1.8e-05,1.8e-05,2.3e-05
383,1.8e-05,1.8e-05,2.3e-05
384,1.9e-05,1.8e-05,2.4e-05
385,1.8e-05,1.9e-05,2.4e-05
386,2.4e-05,1.8e-05,2.3e-05
387,1.9e-05,1.9e-05,2.3e-05
388,1.9e-05,1.8e-05,2.3e-05
389,1.8e-05,1.9e-05,2.2e-05
390,1.8e-05,1.8e-05,2.3e-05
391,1.9e-05,2.6e-05,2.3e-05
392,1.9e-05,2.1e-05,2.3e-05
393,1.8e-05,1.9e-05,2.3e-05
394,1.8e-05,1.9e-05,2.3e-05
395,1.8e-05,1.8e-05,2.3e-05
396,1.9e-05,1.9e-05,2.3e-05
397,1.9e-05,1.9e-05,2.3e-05
398,1.9e-05,1.9e-05,2.3e-05
399,1.9e-05,1.8e-05,2.4e-05
400,1.9e-05,1.9e-05,2.3e-05
401,1.9e-05,1.8e-05,2.3e-05
402,1.9e-05,1.9e-05,2.4e-05
403,1.9e-05,1.9e-05,2.3e-05
404,1.9e-05,1.8e-05,2.3e-05
405,2e-05,1.8e-05,2.3e-05
406,1.9e-05,1.9e-05,2.3e-05
407,1.9e-05,1.9e-05,2.4e-05
408,1.9e-05,1.9e-05,2.3e-05
409,1.9e-05,1.9e-05,2.3e-05
410,1.9e-05,1.9e-05,2.3e-05
411,1.9e-05,1.9e-05,2.4e-05
412,1.9e-05,1.9e-05,2.4e-05
413,1.9e-05,1.9e-05,2.3e-05
414,1.9e-05,1.9e-05,2.3e-05
415,1.9e-05,1.9e-05,2.3e-05
416,1.9e-05,1.9e-05,2.4e-05
417,1.9e-05,1.9e-05,2.4e-05
418,2e-05,1.8e-05,2.4e-05
419,1.9e-05,1.8e-05,2.7e-05
420,1.9e-05,1.9e-05,2.5e-05
421,1.9e-05,1.9e-05,2.3e-05
422,2e-05,1.9e-05,2.3e-05
423,1.9e-05,1.9e-05,2.3e-05
424,2e-05,1.9e-05,2.4e-05
425,1.9e-05,1.9e-05,2.3e-05
426,1.9e-05,1.9e-05,2.3e-05
427,2.3e-05,1.9e-05,2.3e-05
428,2e-05,1.9e-05,2.3e-05
429,1.9e-05,1.8e-05,2.3e-05
430,1.9e-05,1.9e-05,2.3e-05
431,2e-05,1.9e-05,2.3e-05
432,1.9e-05,2.5e-05,2.4e-05
433,2.2e-05,2e-05,2.3e-05
434,2e-05,1.9e-05,2.4e-05
435,2e-05,1.9e-05,2.4e-05
436,1.9e-05,1.9e-05,2.4e-05
437,1.9e-05,1.9e-05,2.4e-05
438,1.9e-05,1.9e-05,2.4e-05
439,1.9e-05,1.9e-05,2.4e-05
440,1.9e-05,1.9e-05,2.4e-05
441,1.9e-05,1.9e-05,3.4e-05
442,2e-05,1.9e-05,4.5e-05
443,1.9e-05,1.9e-05,4e-05
444,1.9e-05,1.9e-05,4.1e-05
445,1.9e-05,1.9e-05,4.2e-05
446,1.9e-05,1.9e-05,4.3e-05
447,1.9e-05,1.9e-05,3.9e-05
448,1.9e-05,1.9e-05,4.6e-05
449,1.9e-05,1.9e-05,3.9e-05
450,1.9e-05,1.9e-05,4.1e-05
451,1.9e-05,1.9e-05,4.1e-05
452,1.9e-05,1.9e-05,3.9e-05
453,1.9e-05,1.9e-05,4.5e-05
454,1.9e-05,1.9e-05,3.9e-05
455,1.9e-05,1.9e-05,4e-05
456,2e-05,1.9e-05,4e-05
457,1.9e-05,1.9e-05,3.9e-05
458,1.9e-05,1.9e-05,4.1e-05
459,2e-05,1.9e-05,4.1e-05
460,1.9e-05,1.9e-05,4.2e-05
461,2e-05,1.9e-05,3.4e-05
462,2e-05,1.9e-05,2.6e-05
463,1.9e-05,1.9e-05,2.6e-05
464,1.9e-05,1.9e-05,2.6e-05
465,1.9e-05,1.9e-05,2.6e-05
466,1.9e-05,1.9e-05,2.6e-05
467,2.3e-05,1.9e-05,2.5e-05
468,2.1e-05,1.9e-05,2.6e-05
469,1.9e-05,1.9e-05,2.6e-05
470,2e-05,1.9e-05,2.6e-05
471,2e-05,1.9e-05,2.5e-05
472,2e-05,2e-05,3.2e-05
473,2e-05,2.5e-05,2.9e-05
474,1.9e-05,2e-05,2.5e-05
475,1.9e-05,1.9e-05,2.7e-05
476,1.9e-05,1.9e-05,2.6e-05
477,2e-05,1.9e-05,2.6e-05
478,2e-05,1.9e-05,2.7e-05
479,2e-05,1.9e-05,2.6e-05
480,2e-05,1.9e-05,2.7e-05
481,2e-05,1.9e-05,2.7e-05
482,2e-05,1.9e-05,2.7e-05
483,2e-05,2e-05,2.7e-05
484,2e-05,2e-05,2.7e-05
485,2e-05,2e-05,2.6e-05
486,1.9e-05,2e-05,2.6e-05
487,1.9e-05,2e-05,2.6e-05
488,2e-05,1.9e-05,2.6e-05
489,2e-05,1.9e-05,2.6e-05
490,2e-05,2e-05,2.6e-05
491,2e-05,2e-05,2.6e-05
492,2e-05,2e-05,2.7e-05
493,2e-05,1.9e-05,2.6e-05
494,1.9e-05,1.9e-05,2.7e-05
495,2e-05,1.9e-05,2.6e-05
496,2e-05,2e-05,2.7e-05
497,2.3e-05,2e-05,2.6e-05
498,2.1e-05,2e-05,2.6e-05
499,2e-05,1.9e-05,2.7e-05
500,2e-05,2e-05,2.7e-05
501,2e-05,2e-05,2.7e-05
502,2e-05,2e-05,2.6e-05
503,2e-05,1.9e-05,2.9e-05
504,2e-05,2e-05,2.8e-05
505,1.9e-05,2e-05,2.7e-05
506,2e-05,2e-05,2.8e-05
507,2.2e-05,2e-05,2.7e-05
508,2e-05,2e-05,2.7e-05
509,1.9e-05,1.9e-05,2.7e-05
510,2e-05,2e-05,2.8e-05
511,2e-05,2e-05,2.8e-05
512,2e-05,2.5e-05,2.7e-05
513,2e-05,2.1e-05,2.5e-05
514,2e-05,2e-05,2.7e-05
515,2e-05,2e-05,2.7e-05
516,1.9e-05,1.9e-05,2.6e-05
517,2e-05,2e-05,2.7e-05
518,2e-05,2e-05,2.7e-05
519,2e-05,2e-05,2.6e-05
520,2e-05,2e-05,2.7e-05
521,2e-05,2e-05,2.6e-05
522,2.1e-05,2e-05,2.8e-05
523,2e-05,2e-05,2.6e-05
524,2e-05,2e-05,2.6e-05
525,2.1e-05,2e-05,2.7e-05
526,2e-05,2e-05,2.6e-05
527,2e-05,2e-05,2.7e-05
528,2e-05,2e-05,2.7e-05
529,2e-05,1.9e-05,2.6e-05
530,2e-05,2e-05,2.6e-05
531,2e-05,2e-05,2.7e-05
532,2e-05,2e-05,3.2e-05
533,2e-05,2e-05,2.9e-05
534,2e-05,2e-05,2.8e-05
535,2e-05,2e-05,2.7e-05
536,2e-05,2e-05,2.8e-05
537,2e-05,2e-05,2.6e-05
538,2e-05,2e-05,2.8e-05
539,2e-05,2.1e-05,2.7e-05
540,2e-05,2e-05,2.8e-05
541,2e-05,2e-05,2.7e-05
542,2e-05,2e-05,2.8e-05
543,2e-05,2e-05,2.7e-05
544,2e-05,2e-05,2.7e-05
545,2.5e-05,2e-05,2.7e-05
546,2.2e-05,2.1e-05,2.7e-05
547,2.1e-05,2.1e-05,2.6e-05
548,2e-05,2.1e-05,2.7e-05
549,2e-05,2e-05,2.7e-05
550,2e-05,2e-05,2.7e-05
551,2e-05,2.5e-05,2.7e-05
552,2.1e-05,2.1e-05,2.8e-05
553,2e-05,2.1e-05,2.7e-05
554,2e-05,2.1e-05,2.7e-05
555,2e-05,2e-05,2.7e-05
556,2e-05,2e-05,2.7e-05
557,2e-05,2e-05,2.8e-05
558,2e-05,2e-05,2.7e-05
559,2e-05,2.1e-05,2.8e-05
560,2.4e-05,2.1e-05,2.8e-05
561,2.1e-05,2e-05,3.1e-05
562,2e-05,2e-05,2.9e-05
563,2e-05,2e-05,2.8e-05
564,2e-05,2e-05,2.8e-05
565,2e-05,2.1e-05,2.8e-05
566,2e-05,2.1e-05,2.7e-05
567,2e-05,2e-05,2.7e-05
568,2e-05,2e-05,2.8e-05
569,2.1e-05,2.1e-05,2.8e-05
570,2.1e-05,2e-05,2.8e-05
571,2.1e-05,2e-05,2.8e-05
572,2.1e-05,2.1e-05,2.9e-05
573,2e-05,2e-05,2.9e-05
574,2.1e-05,2e-05,2.9e-05
575,2e-05,2.1e-05,2.8e-05
576,2.1e-05,2e-05,2.9e-05
577,2.1e-05,2.1e-05,2.8e-05
578,2e-05,2e-05,2.7e-05
579,2.1e-05,2.1e-05,2.9e-05
580,2.1e-05,2e-05,2.8e-05
581,2e-05,2.1e-05,2.7e-05
582,2.1e-05,2.1e-05,2.8e-05
583,2.5e-05,2e-05,2.8e-05
584,2.2e-05,2.1e-05,2.8e-05
585,2e-05,2e-05,2.8e-05
586,2.1e-05,2.1e-05,2.8e-05
587,2e-05,2e-05,2.7e-05
588,2.1e-05,2.1e-05,2.8e-05
589,2.1e-05,2.2e-05,2.7e-05
590,2e-05,2.1e-05,3.5e-05
591,2.1e-05,2.1e-05,2.8e-05
592,2.1e-05,2e-05,2.8e-05
593,2e-05,2.1e-05,2.8e-05
594,2.5e-05,2.1e-05,2.8e-05
595,2.1e-05,2.1e-05,2.8e-05
596,2.1e-05,2.1e-05,2.7e-05
597,2e-05,2e-05,2.7e-05
598,2.1e-05,2.1e-05,2.8e-05
599,2.1e-05,2.1e-05,2.9e-05
600,2.1e-05,2.1e-05,2.8e-05
601,2.1e-05,2.1e-05,2.9e-05
602,2.1e-05,2.1e-05,2.9e-05
603,2e-05,2e-05,2.8e-05
604,2.1e-05,2.1e-05,2.8e-05
605,2.1e-05,2.1e-05,2.8e-05
606,2e-05,2.1e-05,2.8e-05
607,2.1e-05,2.1e-05,2.8e-05
608,2.1e-05,2.1e-05,2.9e-05
609,2.1e-05,2.1e-05,2.8e-05
610,2.1e-05,2.1e-05,2.8e-05
611,2.1e-05,2.1e-05,2.9e-05
612,2.1e-05,2.1e-05,2.9e-05
613,2.1e-05,2.1e-05,2.9e-05
614,2.1e-05,2.1e-05,2.9e-05
615,2.1e-05,2.1e-05,2.9e-05
616,2.1e-05,2.1e-05,2.8e-05
617,2.1e-05,2.1e-05,2.8e-05
618,2.1e-05,2.1e-05,3.1e-05
619,2.1e-05,2.1e-05,2.9e-05
620,2.5e-05,2.1e-05,2.9e-05
621,2.2e-05,2.1e-05,3e-05
622,2.1e-05,2.1e-05,2.9e-05
623,2.1e-05,2.1e-05,2.9e-05
624,2.5e-05,2.1e-05,2.9e-05
625,2.2e-05,2.6e-05,2.9e-05
626,2.1e-05,2.3e-05,2.9e-05
627,2.1e-05,2.1e-05,2.9e-05
628,2.1e-05,2.1e-05,3e-05
629,2.2e-05,2.1e-05,2.9e-05
630,2.1e-05,2.2e-05,2.8e-05
