n,plus,multi,minus
2093,3.6e-05,3.7e-05,4.7e-05
2094,3.6e-05,3.6e-05,4e-05
2095,3.6e-05,3.6e-05,3.9e-05
2096,3.8e-05,3.7e-05,3.9e-05
2097,3.6e-05,3.7e-05,4.1e-05
2098,3.6e-05,3.6e-05,4e-05
2099,3.6e-05,3.6e-05,4.1e-05
2100,3.6e-05,3.6e-05,4.1e-05
2101,3.6e-05,3.7e-05,4e-05
2102,3.6e-05,3.8e-05,4e-05
2103,3.6e-05,3.7e-05,4e-05
2104,3.7e-05,3.7e-05,4e-05
2105,3.6e-05,3.7e-05,4e-05
2106,3.6e-05,3.7e-05,4e-05
2107,3.6e-05,3.7e-05,4e-05
2108,3.6e-05,3.7e-05,4.1e-05
2109,3.6e-05,3.6e-05,4e-05
2110,3.6e-05,3.6e-05,4e-05
2111,3.6e-05,3.6e-05,4.3e-05
2112,3.7e-05,3.6e-05,4e-05
2113,3.6e-05,3.7e-05,4.1e-05
2114,3.6e-05,3.8e-05,4e-05
2115,3.6e-05,5.6e-05,4e-05
2116,4.2e-05,3.8e-05,4e-05
2117,3.7e-05,3.6e-05,4e-05
2118,3.6e-05,3.6e-05,4e-05
2119,3.6e-05,3.7e-05,4e-05
2120,3.6e-05,3.7e-05,4.1e-05
2121,3.6e-05,6.7e-05,4e-05
2122,3.7e-05,3.9e-05,4e-05
2123,3.7e-05,3.6e-05,4.2e-05
2124,3.6e-05,3.6e-05,4.1e-05
2125,3.6e-05,3.6e-05,4.1e-05
2126,3.7e-05,3.6e-05,4.1e-05
2127,3.7e-05,3.6e-05,4.1e-05
2128,3.7e-05,3.6e-05,4.8e-05
2129,3.6e-05,3.7e-05,4.1e-05
2130,3.6e-05,3.7e-05,4e-05
2131,3.7e-05,3.7e-05,4.1e-05
2132,3.6e-05,3.7e-05,3.9e-05
2133,3.6e-05,3.7e-05,4.1e-05
2134,3.6e-05,3.7e-05,4.1e-05
2135,3.6e-05,3.6e-05,4e-05
2136,3.6e-05,3.6e-05,4.1e-05
2137,3.9e-05,3.6e-05,4.1e-05
2138,3.7e-05,3.6e-05,4e-05
2139,3.7e-05,3.6e-05,4e-05
2140,3.6e-05,3.7e-05,4e-05
2141,3.7e-05,4.3e-05,4e-05
2142,3.7e-05,3.7e-05,4e-05
2143,3.7e-05,3.7e-05,3.9e-05
2144,3.6e-05,3.6e-05,3.9e-05
2145,3.6e-05,3.6e-05,4e-05
2146,3.6e-05,3.6e-05,4.6e-05
2147,3.6e-05,3.7e-05,4.1e-05
2148,3.6e-05,3.7e-05,4e-05
2149,3.7e-05,3.7e-05,4e-05
2150,3.7e-05,3.8e-05,4e-05
2151,3.7e-05,3.7e-05,4e-05
2152,3.7e-05,3.7e-05,4e-05
2153,3.7e-05,3.6e-05,4.1e-05
2154,4.1e-05,3.6e-05,4.1e-05
2155,3.7e-05,3.7e-05,4e-05
2156,3.7e-05,3.6e-05,4.1e-05
2157,4.3e-05,3.7e-05,4.1e-05
2158,3.7e-05,3.7e-05,4e-05
2159,3.7e-05,3.7e-05,4e-05
2160,3.7e-05,3.7e-05,4e-05
2161,3.6e-05,4.3e-05,4e-05
2162,4.2e-05,3.9e-05,4.2e-05
2163,3.6e-05,3.7e-05,4e-05
2164,3.6e-05,3.7e-05,4.2e-05
2165,3.6e-05,3.7e-05,4e-05
2166,3.7e-05,3.7e-05,4e-05
2167,3.7e-05,3.8e-05,4.1e-05
2168,3.6e-05,3.7e-05,4.1e-05
2169,3.6e-05,3.7e-05,4e-05
2170,3.7e-05,3.7e-05,4e-05
2171,3.7e-05,3.7e-05,4e-05
2172,3.6e-05,3.7e-05,4e-05
2173,3.6e-05,3.7e-05,4e-05
2174,3.6e-05,3.8e-05,4e-05
2175,3.7e-05,3.7e-05,4e-05
2176,3.7e-05,3.7e-05,4e-05
2177,4.1e-05,3.7e-05,4e-05
2178,3.7e-05,3.8e-05,4.1e-05
2179,3.7e-05,3.8e-05,4.1e-05
2180,3.6e-05,3.7e-05,4e-05
2181,3.7e-05,4.3e-05,4e-05
2182,3.7e-05,3.8e-05,4.2e-05
2183,3.7e-05,3.7e-05,4.1e-05
2184,3.7e-05,3.7e-05,4.1e-05
2185,3.7e-05,3.7e-05,4.1e-05
2186,3.7e-05,3.8e-05,4e-05
2187,3.7e-05,3.7e-05,4e-05
2188,3.7e-05,3.7e-05,4.1e-05
2189,3.7e-05,3.7e-05,4.1e-05
2190,3.7e-05,3.8e-05,4.1e-05
2191,3.7e-05,3.8e-05,4.1e-05
2192,3.6e-05,3.7e-05,4.1e-05
2193,3.7e-05,3.8e-05,4.1e-05
2194,3.7e-05,3.8e-05,4.1e-05
2195,3.8e-05,3.7e-05,4e-05
2196,3.8e-05,3.7e-05,4.1e-05
2197,4.3e-05,3.8e-05,4.1e-05
2198,3.7e-05,3.8e-05,4e-05
2199,3.7e-05,3.8e-05,4.9e-05
2200,3.7e-05,3.7e-05,4.1e-05
2201,3.8e-05,4.3e-05,4.1e-05
2202,3.7e-05,3.8e-05,4.1e-05
2203,3.7e-05,3.7e-05,4.1e-05
2204,3.7e-05,3.7e-05,4.1e-05
2205,3.7e-05,3.7e-05,4e-05
2206,3.7e-05,3.7e-05,4e-05
2207,3.7e-05,3.8e-05,4e-05
2208,3.7e-05,3.7e-05,4.1e-05
2209,3.7e-05,3.7e-05,4.1e-05
2210,3.7e-05,3.7e-05,4e-05
2211,3.7e-05,3.7e-05,4e-05
2212,3.8e-05,3.7e-05,4.1e-05
2213,3.7e-05,3.7e-05,4.1e-05
2214,3.7e-05,3.7e-05,4.1e-05
2215,3.7e-05,3.7e-05,4.1e-05
2216,3.7e-05,3.7e-05,4.1e-05
2217,4.3e-05,3.7e-05,4.7e-05
2218,4.1e-05,3.8e-05,4.2e-05
2219,3.8e-05,3.8e-05,4.1e-05
2220,3.8e-05,3.7e-05,4.1e-05
2221,3.8e-05,4.4e-05,4.1e-05
2222,3.7e-05,3.8e-05,4.1e-05
2223,3.7e-05,3.7e-05,4e-05
2224,3.8e-05,3.8e-05,4e-05
2225,3.7e-05,3.7e-05,4.2e-05
2226,3.7e-05,3.7e-05,4e-05
2227,3.7e-05,3.8e-05,4.2e-05
2228,3.8e-05,3.7e-05,4.1e-05
2229,3.7e-05,3.7e-05,4e-05
2230,3.7e-05,3.8e-05,4.2e-05
2231,3.7e-05,3.7e-05,4.2e-05
2232,3.8e-05,3.7e-05,4.1e-05
2233,3.8e-05,3.8e-05,4.1e-05
2234,3.7e-05,3.8e-05,4.7e-05
2235,3.8e-05,3.8e-05,4.2e-05
2236,3.7e-05,3.7e-05,4.1e-05
2237,3.9e-05,3.8e-05,4.1e-05
2238,3.8e-05,3.8e-05,4.1e-05
2239,3.8e-05,3.7e-05,4.1e-05
2240,3.7e-05,3.8e-05,4.2e-05
2241,3.7e-05,4e-05,4.2e-05
2242,3.8e-05,3.7e-05,4e-05
2243,3.8e-05,3.8e-05,4.1e-05
2244,3.8e-05,3.7e-05,4.2e-05
2245,3.7e-05,3.8e-05,4.1e-05
2246,3.7e-05,3.8e-05,4.1e-05
2247,3.8e-05,3.8e-05,4.1e-05
2248,3.8e-05,3.8e-05,4.1e-05
2249,3.8e-05,3.8e-05,4.1e-05
2250,3.8e-05,3.8e-05,4.2e-05
2251,3.7e-05,3.7e-05,4.2e-05
2252,3.8e-05,3.8e-05,4.7e-05
2253,3.7e-05,3.8e-05,4.2e-05
2254,3.7e-05,3.8e-05,4.2e-05
2255,3.7e-05,3.7e-05,4.1e-05
2256,4.4e-05,3.8e-05,4.1e-05
2257,3.8e-05,3.8e-05,4.1e-05
2258,3.7e-05,3.8e-05,4.2e-05
2259,3.7e-05,3.7e-05,4.1e-05
2260,3.8e-05,4.5e-05,4.2e-05
2261,3.7e-05,3.9e-05,4.1e-05
2262,3.8e-05,3.8e-05,4.2e-05
2263,3.8e-05,3.8e-05,4.1e-05
2264,3.7e-05,3.8e-05,4.1e-05
2265,3.8e-05,3.8e-05,4.1e-05
2266,3.8e-05,3.8e-05,4.1e-05
2267,3.7e-05,3.8e-05,4.2e-05
2268,3.8e-05,3.9e-05,4.1e-05
2269,3.8e-05,3.8e-05,5e-05
2270,3.7e-05,3.8e-05,4.2e-05
2271,3.8e-05,3.8e-05,4.1e-05
2272,3.8e-05,3.8e-05,4.1e-05
2273,3.8e-05,3.8e-05,4.2e-05
2274,4.1e-05,3.9e-05,4.2e-05
2275,3.8e-05,3.8e-05,4.2e-05
2276,4.3e-05,3.8e-05,4.2e-05
2277,3.8e-05,3.8e-05,4.2e-05
2278,3.8e-05,3.8e-05,4.1e-05
2279,3.7e-05,3.9e-05,4.2e-05
2280,3.8e-05,4.4e-05,4.2e-05
2281,3.8e-05,3.9e-05,4.2e-05
2282,4.1e-05,3.8e-05,4.2e-05
2283,3.9e-05,3.8e-05,4.2e-05
2284,3.8e-05,3.9e-05,4.2e-05
2285,3.8e-05,3.8e-05,4.1e-05
2286,3.8e-05,3.8e-05,4.8e-05
2287,3.8e-05,3.8e-05,4.2e-05
2288,3.8e-05,3.9e-05,4.2e-05
2289,3.8e-05,3.9e-05,4.3e-05
2290,3.8e-05,3.8e-05,4.1e-05
2291,3.9e-05,3.8e-05,4.2e-05
2292,3.7e-05,3.8e-05,4.1e-05
2293,3.9e-05,3.8e-05,4.3e-05
2294,3.7e-05,3.9e-05,4.1e-05
2295,4.4e-05,3.8e-05,4.2e-05
2296,3.8e-05,3.8e-05,4.2e-05
2297,3.9e-05,3.9e-05,4.3e-05
2298,3.8e-05,3.8e-05,4.2e-05
2299,3.8e-05,4.5e-05,4.2e-05
2300,3.8e-05,3.8e-05,4.2e-05
2301,3.8e-05,3.9e-05,4.2e-05
2302,3.8e-05,3.8e-05,4.2e-05
2303,3.8e-05,3.8e-05,4.8e-05
2304,3.8e-05,3.9e-05,4.2e-05
2305,3.9e-05,3.9e-05,4.2e-05
2306,3.8e-05,3.8e-05,4.2e-05
2307,3.8e-05,3.8e-05,4.2e-05
2308,3.8e-05,3.8e-05,4.2e-05
2309,3.8e-05,3.8e-05,4.2e-05
2310,3.9e-05,3.8e-05,4.2e-05
2311,3.8e-05,3.9e-05,4.2e-05
2312,3.8e-05,3.8e-05,4.2e-05
2313,3.8e-05,3.8e-05,4.1e-05
2314,3.8e-05,3.8e-05,4.2e-05
2315,4e-05,3.8e-05,4.2e-05
2316,3.9e-05,3.8e-05,4.3e-05
2317,3.9e-05,3.8e-05,4.3e-05
2318,3.8e-05,4.3e-05,4.3e-05
2319,3.9e-05,4e-05,4.2e-05
2320,3.8e-05,3.8e-05,4.3e-05
2321,3.8e-05,3.8e-05,4.2e-05
2322,3.8e-05,3.8e-05,4.2e-05
2323,3.9e-05,3.8e-05,4.3e-05
2324,3.8e-05,3.9e-05,4.2e-05
2325,3.8e-05,3.8e-05,4.3e-05
2326,3.8e-05,3.8e-05,4.3e-05
2327,3.8e-05,3.8e-05,4.2e-05
2328,3.8e-05,3.8e-05,4.3e-05
2329,3.8e-05,3.8e-05,4.2e-05
2330,3.9e-05,3.8e-05,4.2e-05
2331,3.9e-05,3.9e-05,4.2e-05
2332,3.9e-05,3.8e-05,4.3e-05
2333,3.9e-05,3.9e-05,4.2e-05
2334,4.4e-05,3.8e-05,4.2e-05
2335,3.8e-05,3.8e-05,4.2e-05
2336,3.8e-05,3.8e-05,5e-05
2337,3.8e-05,3.9e-05,4.3e-05
2338,3.9e-05,4e-05,4.3e-05
2339,3.8e-05,3.8e-05,4.2e-05
2340,3.9e-05,3.8e-05,4.3e-05
2341,4e-05,3.9e-05,4.2e-05
2342,3.9e-05,3.9e-05,4.3e-05
2343,3.8e-05,3.9e-05,4.3e-05
2344,3.8e-05,3.9e-05,4.3e-05
2345,4.2e-05,3.9e-05,4.3e-05
2346,3.9e-05,3.8e-05,4.1e-05
2347,3.9e-05,3.8e-05,4.3e-05
2348,3.8e-05,3.9e-05,4.2e-05
2349,3.9e-05,3.9e-05,4.2e-05
2350,3.9e-05,3.8e-05,4.3e-05
2351,3.9e-05,3.8e-05,4.2e-05
2352,3.9e-05,3.9e-05,4.2e-05
2353,4.5e-05,3.9e-05,4.8e-05
2354,3.9e-05,3.9e-05,4.3e-05
2355,3.9e-05,3.8e-05,4.3e-05
2356,3.9e-05,3.9e-05,4.3e-05
2357,3.9e-05,4.4e-05,4.3e-05
2358,3.9e-05,3.9e-05,4.2e-05
2359,3.8e-05,3.9e-05,4.2e-05
2360,3.9e-05,3.9e-05,4.2e-05
2361,3.9e-05,3.9e-05,4.3e-05
2362,3.9e-05,3.9e-05,4.3e-05
2363,3.9e-05,3.9e-05,4.3e-05
2364,3.8e-05,3.8e-05,4.3e-05
2365,3.9e-05,3.8e-05,4.3e-05
2366,3.9e-05,3.8e-05,4.2e-05
2367,3.9e-05,4e-05,4.3e-05
2368,3.9e-05,3.9e-05,4.3e-05
2369,3.9e-05,3.8e-05,4.9e-05
2370,3.9e-05,3.9e-05,4.4e-05
2371,3.9e-05,3.8e-05,4.3e-05
2372,4.5e-05,3.8e-05,4.3e-05
2373,4e-05,3.9e-05,4.3e-05
2374,3.9e-05,3.9e-05,4.3e-05
2375,3.9e-05,3.9e-05,4.3e-05
2376,3.9e-05,4.4e-05,4.3e-05
2377,3.8e-05,3.9e-05,4.3e-05
2378,3.9e-05,3.9e-05,4.2e-05
2379,3.9e-05,3.9e-05,4.2e-05
2380,3.9e-05,3.9e-05,4.3e-05
2381,3.9e-05,3.9e-05,4.3e-05
2382,3.9e-05,3.9e-05,4.3e-05
2383,3.9e-05,4e-05,4.2e-05
2384,3.9e-05,3.9e-05,4.4e-05
2385,3.9e-05,3.9e-05,4.4e-05
2386,3.9e-05,3.9e-05,4.5e-05
2387,3.9e-05,3.9e-05,4.3e-05
2388,3.9e-05,3.8e-05,4.3e-05
2389,3.9e-05,3.9e-05,4.3e-05
2390,3.8e-05,3.9e-05,4.3e-05
2391,4.4e-05,4e-05,4.3e-05
2392,3.9e-05,3.9e-05,4.3e-05
2393,3.8e-05,3.9e-05,4.3e-05
2394,3.9e-05,4e-05,4.3e-05
2395,3.9e-05,4.5e-05,4.4e-05
2396,3.9e-05,3.9e-05,4.3e-05
2397,3.9e-05,3.9e-05,4.4e-05
2398,3.9e-05,3.9e-05,4.3e-05
2399,3.9e-05,3.9e-05,4.3e-05
2400,3.9e-05,3.9e-05,4.3e-05
2401,3.9e-05,4e-05,4.3e-05
2402,4e-05,3.9e-05,5.1e-05
2403,3.9e-05,4e-05,4.4e-05
2404,3.9e-05,3.9e-05,4.4e-05
2405,3.9e-05,3.9e-05,4.4e-05
2406,3.9e-05,3.9e-05,4.3e-05
2407,3.9e-05,3.9e-05,4.3e-05
2408,3.9e-05,3.9e-05,4.3e-05
2409,4.3e-05,4e-05,4.3e-05
2410,4.1e-05,4e-05,4.3e-05
2411,3.9e-05,3.9e-05,4.4e-05
2412,3.9e-05,3.9e-05,4.3e-05
2413,3.9e-05,3.9e-05,4.3e-05
2414,4e-05,4.5e-05,4.3e-05
2415,4e-05,3.9e-05,4.4e-05
2416,4e-05,3.9e-05,4.2e-05
2417,3.9e-05,3.9e-05,4.4e-05
2418,3.9e-05,4e-05,5e-05
2419,4e-05,4e-05,4.4e-05
2420,4e-05,4e-05,4.4e-05
2421,4e-05,3.9e-05,4.3e-05
2422,3.9e-05,3.9e-05,4.3e-05
2423,3.9e-05,3.9e-05,4.3e-05
2424,3.9e-05,4e-05,4.3e-05
2425,3.9e-05,4e-05,4.3e-05
2426,4e-05,4e-05,4.3e-05
2427,3.9e-05,4e-05,4.4e-05
2428,4.5e-05,3.9e-05,4.4e-05
2429,4e-05,3.9e-05,4.4e-05
2430,3.9e-05,4e-05,4.4e-05
2431,3.9e-05,3.9e-05,4.3e-05
2432,3.9e-05,3.9e-05,4.5e-05
2433,3.9e-05,4.2e-05,4.3e-05
2434,4e-05,4e-05,4.8e-05
2435,4e-05,4e-05,4.5e-05
2436,4e-05,4e-05,4.3e-05
2437,4e-05,4e-05,4.3e-05
2438,3.9e-05,4e-05,4.4e-05
2439,4e-05,4e-05,4.4e-05
2440,4e-05,4e-05,4.4e-05
2441,4e-05,3.9e-05,4.3e-05
2442,4e-05,4e-05,4.4e-05
2443,4e-05,3.9e-05,4.4e-05
2444,3.9e-05,3.9e-05,4.4e-05
2445,4e-05,3.9e-05,4.4e-05
2446,3.9e-05,3.9e-05,4.4e-05
2447,4.5e-05,4e-05,4.5e-05
2448,4e-05,4e-05,4.3e-05
2449,4e-05,4e-05,4.4e-05
2450,3.9e-05,4e-05,4.4e-05
2451,3.9e-05,4.4e-05,4.5e-05
2452,4e-05,4.1e-05,4.3e-05
2453,3.9e-05,4e-05,4.4e-05
2454,4e-05,4e-05,4.4e-05
2455,4.4e-05,3.9e-05,4.4e-05
2456,7.3e-05,4e-05,4.4e-05
2457,6.8e-05,4e-05,4.4e-05
2458,7.6e-05,3.9e-05,4.4e-05
2459,7.3e-05,4e-05,4.4e-05
2460,7.5e-05,4e-05,4.4e-05
2461,7.9e-05,3.9e-05,4.4e-05
2462,7.5e-05,4e-05,4.4e-05
2463,7.5e-05,3.9e-05,4.5e-05
2464,7.4e-05,4e-05,4.4e-05
2465,7e-05,4e-05,4.4e-05
2466,7.5e-05,4e-05,4.4e-05
2467,7.4e-05,3.9e-05,4.6e-05
2468,7.3e-05,4e-05,4.3e-05
2469,7.5e-05,3.9e-05,4.4e-05
2470,9.8e-05,4.6e-05,4.4e-05
2471,6.3e-05,4e-05,4.4e-05
2472,4.7e-05,3.9e-05,4.4e-05
2473,4.4e-05,4e-05,4.4e-05
2474,4.1e-05,4e-05,4.3e-05
2475,4e-05,4e-05,4.3e-05
2476,4e-05,4e-05,4.3e-05
2477,4e-05,4e-05,4.3e-05
2478,4e-05,4e-05,4.3e-05
2479,4e-05,4e-05,4.3e-05
2480,4e-05,4e-05,4.4e-05
2481,4e-05,4e-05,4.4e-05
2482,3.9e-05,4e-05,4.4e-05
2483,4e-05,4e-05,4.6e-05
2484,4e-05,4e-05,4.4e-05
2485,4e-05,4e-05,4.4e-05
2486,3.9e-05,4e-05,4.4e-05
2487,4e-05,4e-05,4.3e-05
2488,4e-05,4e-05,4.4e-05
2489,4.7e-05,4.2e-05,4.4e-05
2490,4e-05,4e-05,4.4e-05
2491,4e-05,4e-05,4.4e-05
2492,4e-05,4e-05,4.4e-05
2493,4e-05,4.1e-05,4.3e-05
2494,4e-05,4.1e-05,4.4e-05
2495,4e-05,4e-05,4.5e-05
2496,4e-05,4e-05,4.4e-05
2497,4e-05,4e-05,4.4e-05
2498,4e-05,4e-05,5.3e-05
2499,4e-05,4e-05,4.5e-05
2500,4e-05,4e-05,4.3e-05
2501,4.1e-05,4e-05,4.5e-05
2502,4e-05,4.1e-05,4.4e-05
2503,4e-05,4e-05,4.4e-05
2504,4e-05,4e-05,4.4e-05
2505,4e-05,4e-05,4.4e-05
2506,4e-05,4e-05,4.4e-05
2507,4.6e-05,4.5e-05,4.4e-05
2508,4.2e-05,4.1e-05,4.4e-05
2509,4e-05,4e-05,4.5e-05
2510,4e-05,4e-05,4.4e-05
2511,4e-05,4.1e-05,4.5e-05
2512,4.1e-05,4.1e-05,4.4e-05
2513,4e-05,4e-05,4.5e-05
2514,4e-05,4e-05,5.2e-05
2515,4e-05,4e-05,4.5e-05
2516,4e-05,4.1e-05,4.5e-05
2517,4.6e-05,4e-05,4.4e-05
2518,4e-05,4.1e-05,4.5e-05
2519,4.1e-05,4.1e-05,4.4e-05
2520,4.7e-05,4.1e-05,4.4e-05
2521,4e-05,4e-05,4.6e-05
2522,4e-05,4.1e-05,4.5e-05
2523,4e-05,4e-05,4.4e-05
2524,4.1e-05,4.1e-05,4.4e-05
2525,4.5e-05,4.6e-05,4.5e-05
2526,4.2e-05,4.2e-05,4.5e-05
2527,4.1e-05,4e-05,4.4e-05
2528,4e-05,4e-05,4.5e-05
2529,4e-05,4e-05,4.5e-05
2530,4.1e-05,4.1e-05,5.2e-05
2531,4e-05,4e-05,4.5e-05
2532,4e-05,4e-05,4.4e-05
2533,4.1e-05,4.1e-05,4.4e-05
2534,4e-05,4e-05,4.5e-05
2535,4e-05,4e-05,4.4e-05
2536,4.1e-05,4.1e-05,5.1e-05
2537,4.4e-05,4e-05,4.4e-05
2538,4.1e-05,4.1e-05,4.4e-05
2539,4.1e-05,4e-05,4.5e-05
2540,4.1e-05,4e-05,4.6e-05
2541,4e-05,4.1e-05,4.6e-05
2542,4e-05,4.1e-05,4.4e-05
2543,4e-05,4.1e-05,4.4e-05
2544,4.2e-05,4.3e-05,4.5e-05
2545,4.1e-05,4.1e-05,4.4e-05
2546,4e-05,4.1e-05,4.5e-05
2547,4.1e-05,4.1e-05,4.4e-05
2548,4e-05,4.1e-05,4.5e-05
2549,4.1e-05,4e-05,4.5e-05
2550,4.1e-05,4.1e-05,4.5e-05
2551,4.1e-05,4.1e-05,4.5e-05
2552,4.1e-05,4e-05,4.5e-05
2553,4.1e-05,4.1e-05,4.4e-05
2554,4.1e-05,4.1e-05,4.5e-05
2555,4.1e-05,4.1e-05,4.5e-05
2556,4.1e-05,4.1e-05,4.5e-05
2557,4.1e-05,4.1e-05,4.5e-05
2558,4.1e-05,4e-05,4.5e-05
2559,4e-05,4.1e-05,4.5e-05
2560,4e-05,4.1e-05,4.5e-05
2561,4.1e-05,4.1e-05,5.2e-05
2562,4.6e-05,4.6e-05,4.6e-05
2563,4.1e-05,4e-05,4.5e-05
2564,4e-05,4e-05,4.5e-05
2565,4.1e-05,4.1e-05,4.6e-05
2566,4e-05,4e-05,4.5e-05
2567,4.1e-05,4e-05,4.5e-05
2568,4.1e-05,4e-05,4.4e-05
2569,4.1e-05,4.1e-05,4.6e-05
2570,4.1e-05,4.1e-05,4.5e-05
2571,4e-05,4.1e-05,4.5e-05
2572,4.1e-05,4.1e-05,4.5e-05
2573,4.1e-05,4.1e-05,4.6e-05
2574,4.1e-05,4e-05,7.5e-05
2575,4.1e-05,4e-05,7.1e-05
2576,4.1e-05,4.2e-05,7.3e-05
2577,4.1e-05,4e-05,7.6e-05
2578,4.1e-05,4.1e-05,7.4e-05
2579,4.1e-05,4.1e-05,7.4e-05
2580,4.3e-05,4.6e-05,7.4e-05
2581,4.1e-05,4.1e-05,7.1e-05
2582,4e-05,4.1e-05,7.9e-05
2583,4.1e-05,4.1e-05,7.2e-05
2584,4.1e-05,4.1e-05,7.8e-05
2585,4.1e-05,4.1e-05,7.6e-05
2586,4.1e-05,4.1e-05,5e-05
2587,4.2e-05,4.1e-05,4.4e-05
2588,4.1e-05,4.1e-05,4.4e-05
2589,4.1e-05,4.1e-05,4.5e-05
2590,4.1e-05,4.1e-05,4.7e-05
2591,4.1e-05,4.1e-05,4.5e-05
2592,4.1e-05,4e-05,4.4e-05
2593,4.1e-05,4e-05,4.5e-05
2594,4.1e-05,4.1e-05,4.5e-05
2595,4.1e-05,4.1e-05,4.5e-05
2596,4.1e-05,4.1e-05,4.6e-05
2597,4.7e-05,4.1e-05,4.5e-05
2598,4.1e-05,4.7e-05,4.5e-05
2599,4.1e-05,4.1e-05,4.4e-05
2600,4.5e-05,4.1e-05,4.6e-05
2601,4.2e-05,4.2e-05,5.2e-05
2602,4.2e-05,4.1e-05,4.6e-05
2603,4.1e-05,4.1e-05,4.6e-05
2604,4e-05,4.1e-05,4.6e-05
2605,4.1e-05,4.1e-05,4.6e-05
2606,4.1e-05,4.1e-05,4.5e-05
2607,4.1e-05,4.1e-05,4.6e-05
2608,4.1e-05,4.2e-05,4.5e-05
2609,4.1e-05,4.1e-05,4.7e-05
2610,4.1e-05,4.1e-05,4.5e-05
2611,4.1e-05,4.2e-05,4.6e-05
2612,4.1e-05,4.1e-05,4.5e-05
2613,4.1e-05,4.2e-05,4.5e-05
2614,4.2e-05,4.1e-05,4.5e-05
2615,5.2e-05,4.1e-05,4.5e-05
2616,4.1e-05,4.6e-05,4.6e-05
2617,4.1e-05,4.1e-05,4.9e-05
2618,4.1e-05,4.2e-05,4.7e-05
2619,4.1e-05,4.2e-05,4.6e-05
2620,4.1e-05,4.1e-05,4.6e-05
2621,4.1e-05,4.2e-05,4.5e-05
2622,4.1e-05,4.1e-05,4.6e-05
2623,4.1e-05,4.2e-05,4.6e-05
2624,4.1e-05,4.1e-05,4.5e-05
2625,4.1e-05,4.2e-05,4.6e-05
2626,4.1e-05,4.2e-05,4.5e-05
2627,4.1e-05,4.2e-05,4.6e-05
2628,4.1e-05,4.2e-05,4.6e-05
2629,4.1e-05,4.1e-05,4.6e-05
2630,4.2e-05,4.2e-05,4.5e-05
2631,4.1e-05,4.1e-05,4.6e-05
2632,4.1e-05,4.1e-05,5.1e-05
2633,4.9e-05,4.2e-05,4.6e-05
2634,4.2e-05,4.7e-05,4.5e-05
2635,4.2e-05,4.2e-05,4.6e-05
2636,4.2e-05,4.2e-05,4.6e-05
2637,4.2e-05,4.2e-05,4.4e-05
2638,4.2e-05,4.1e-05,4.6e-05
2639,4.2e-05,4.1e-05,4.6e-05
2640,4.1e-05,4.2e-05,4.6e-05
2641,4.1e-05,4.1e-05,4.6e-05
2642,4.1e-05,4.1e-05,4.5e-05
2643,4.2e-05,4.1e-05,4.5e-05
2644,4.2e-05,4.2e-05,4.6e-05
2645,4.2e-05,4.2e-05,4.6e-05
2646,4.1e-05,4.2e-05,4.6e-05
2647,4.1e-05,4.2e-05,5.4e-05
2648,4.1e-05,4.1e-05,4.6e-05
2649,4.2e-05,4.1e-05,4.6e-05
2650,4.2e-05,4.2e-05,4.6e-05
2651,4.4e-05,4.2e-05,4.6e-05
2652,4.2e-05,4.4e-05,4.5e-05
2653,4.1e-05,4.2e-05,4.5e-05
2654,4.1e-05,4.2e-05,4.5e-05
2655,4.2e-05,4.2e-05,4.5e-05
2656,4.1e-05,4.2e-05,4.5e-05
2657,4.2e-05,4.2e-05,4.6e-05
2658,4.2e-05,4.2e-05,4.5e-05
2659,4.2e-05,4.1e-05,4.6e-05
2660,4.2e-05,4.2e-05,4.7e-05
2661,4.1e-05,4.1e-05,4.5e-05
2662,4.1e-05,4.1e-05,5.1e-05
2663,4.2e-05,4.2e-05,4.6e-05
2664,4.5e-05,4.2e-05,4.6e-05
2665,4.3e-05,4.1e-05,4.6e-05
2666,4.2e-05,4.2e-05,4.6e-05
2667,4.2e-05,4.1e-05,4.6e-05
2668,4.7e-05,4.1e-05,4.5e-05
2669,4.2e-05,4.7e-05,4.7e-05
2670,4.1e-05,4.2e-05,4.6e-05
2671,4.2e-05,4.2e-05,4.6e-05
2672,4.1e-05,4.2e-05,4.6e-05
2673,4.2e-05,4.2e-05,4.6e-05
2674,4.2e-05,4.2e-05,4.6e-05
2675,4.1e-05,4.2e-05,4.7e-05
2676,4.2e-05,4.2e-05,4.7e-05
2677,4.1e-05,4.2e-05,4.7e-05
2678,4.3e-05,4.2e-05,4.8e-05
2679,4.1e-05,4.2e-05,4.6e-05
2680,4.2e-05,4.1e-05,4.6e-05
2681,4.2e-05,4.2e-05,4.6e-05
2682,4.2e-05,4.2e-05,4.7e-05
2683,4.1e-05,4.2e-05,4.7e-05
2684,4.2e-05,4.2e-05,4.6e-05
2685,4.2e-05,4.2e-05,4.7e-05
2686,4.4e-05,4.2e-05,4.6e-05
2687,4.1e-05,4.8e-05,4.7e-05
2688,4.2e-05,4.1e-05,4.6e-05
2689,4.2e-05,4.2e-05,4.6e-05
2690,4.2e-05,4.2e-05,4.7e-05
2691,4.2e-05,4.2e-05,4.7e-05
2692,4.2e-05,4.2e-05,4.6e-05
2693,4.2e-05,4.1e-05,4.8e-05
2694,4.2e-05,6.7e-05,4.6e-05
2695,4.2e-05,7.4e-05,4.7e-05
2696,4.2e-05,7.2e-05,4.6e-05
